Entity1,Relationship,Entity2,Evidence,Evidence URL
ADAL,Neurotransmitter,Glutamate,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADAmainframe.htm
ADAL,Neuropeptide,PDF-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADAmainframe.htm
ADAL,Neuropeptide,FLP-8,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADAmainframe.htm
ADAL,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADAL,Innexin,INX-19,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADAL,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADAL,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADAmainframe.htm
ADAR,Neurotransmitter,Glutamate,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADAmainframe.htm
ADAR,Neuropeptide,FLP-8,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADAmainframe.htm
ADAR,Neuropeptide,PDF-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADAmainframe.htm
ADAR,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADAR,Innexin,INX-19,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADAR,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADAR,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADAmainframe.htm
ADEL,Neurotransmitter,Dopamine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADEL,Neuropeptide,PDF-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADEL,Innexin,INX-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADEL,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADEL,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADEL,Receptor,ACR-16,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADEL,Receptor,DOP-2,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADEL,Receptor,EXP-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADEL,Receptor,TYRA-3,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADEL,Receptor,TRP-4,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADEL,type,"Sensory neuron (mechanosensory, possible pheromone-sensory)",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADER,Neurotransmitter,Dopamine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADER,Neuropeptide,PDF-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADER,Innexin,INX-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADER,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADER,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADER,Receptor,ACR-16,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADER,Receptor,DOP-2,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADER,Receptor,EXP-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADER,Receptor,TYRA-3,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADER,Receptor,TRP-4,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADER,type,"Sensory neuron (mechanosensory, possible pheromone-sensory)",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADEmainframe.htm
ADFL,Neurotransmitter,Serotonin,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFL,Neuropeptide,FLP-6,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFL,Neuropeptide,INS-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFL,Neuropeptide,NLP-3,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFL,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADFL,Innexin,INX-19,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
ADFL,Receptor,MGL-3,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFL,Receptor,NPR-5,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFL,Receptor,OCR-2,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFL,Receptor,OSM-9,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFL,Receptor,SRB-6,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFL,Receptor,SRD-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFL,Receptor,TMC-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFL,type,"Sensory neuron (chemosensory, oxygen- sensory)",WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFR,Neurotransmitter,Serotonin,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFR,Neuropeptide,FLP-6,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFR,Neuropeptide,INS-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFR,Neuropeptide,NLP-3,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/ADFmainframe.htm
ADFR,Innexin,INX-4,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
